bc,N,kmean,clust,smean,wclust,dirname,filename,order,genus,species,interaction_type,population_type,division
4.21305343212711,11,2.36363636363636,0,2.36363636363636,0,baboon_association_weighted,baboon_franz_grooming_group_25,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
3.63335587017296,18,2.77777777777778,0.0537037037037037,3.55555555555556,0.0129090239317638,baboon_association_weighted,baboon_franz_grooming_group_26,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
5.82567375631794,17,3.76470588235294,0.245658263305322,4.82352941176471,0.101455148167794,baboon_association_weighted,baboon_franz_grooming_group_27,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
4.29992381330563,16,2.875,0.135416666666667,3.875,0.0393610515288685,baboon_association_weighted,baboon_franz_grooming_group_28,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
5.77054040439439,13,4.30769230769231,0.371794871794872,6.76923076923077,0.0668167964833303,baboon_association_weighted,baboon_franz_grooming_group_29,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
14.1949487000277,21,6.85714285714286,0.547585483299769,6636.95238095238,0.0406731049697811,bats_foodsharing_weighted,vampirebats_carter_mouth_licking_attribute,Chiroptera,Desmodus,rotundus,Food_sharing,captive,
-36.4642024323908,43,25.3953488372093,0.904976153320225,777.674418604651,0.115193622704437,bats_roostuse_weighted,bat_silvis_roosting_attribute,Chiroptera,Myotis,sodalis,social_projection_bipartite,free-ranging,
-81.6287482335256,26,17.0769230769231,0.813179699097671,69,0.126031728507531,bison_dominance_weighted,bison_lott_dominance_attribute,Artiodactyla,Bison,bison,dominance,semi-ranging,
3.30783586388038,5,1.6,0,2.4,0,black_bear_sexual_weighted,black_bear_schenk_sexual_network_attribute,Carnivora,Ursus,americanus,FE_mating,free-ranging,
50.336075852119,22,15.1818181818182,0.879371233498028,15.1818181819909,0.114573968936876,brachyteles_arachonoides_association_griffin,weighted_primate_matrix_3,Primates,Brachyteles,arachnoides,spatial_proximity,free-ranging,new_world
120.98767783464,28,14.6428571428571,0.645927334557918,35.5714285714286,0.105708581041463,cattle_dominance_weighted,weighted_cattle_dominance,Artiodactyla,Cattle,N/A,dominance,semi-ranging,
34.4616583060063,15,7.86666666666667,0.663665223665223,7.86666666672,0.0508155526613279,cercopithecus_campbelli_grooming_griffin,weighted_primate_matrix_5,Primates,Cercopithecus,campbelli,grooming,N/A,old_world
